wahlkreis_id;partei;jahr;anzahl
1;CDU;2021;41721
1;SPD;2021;38927
1;FDP;2021;12299
1;GRÜNE;2021;50231
1;AfD;2021;9768
1;DIE LINKE;2021;6544
1;Die PARTEI;2021;0
1;FREIE WÄHLER;2021;2324
1;HEIMAT (2021: NPD);2021;0
1;ÖDP;2021;0
1;MLPD;2021;0
1;dieBasis;2021;3357
1;DKP;2021;0
1;du.;2021;227
1;Wir Bürger (2021: LKR);2021;157
1;Die Humanisten;2021;0
1;Tierschutzpartei;2021;0
1;SSW;2021;13020
1;Team Todenhöfer;2021;0
1;Volt;2021;0
1;V-Partei³;2021;0
2;CDU;2021;43745
2;SPD;2021;40026
2;FDP;2021;13958
2;GRÜNE;2021;20611
2;AfD;2021;8274
2;DIE LINKE;2021;4060
2;Die PARTEI;2021;0
2;FREIE WÄHLER;2021;1510
2;HEIMAT (2021: NPD);2021;0
2;ÖDP;2021;0
2;MLPD;2021;0
2;dieBasis;2021;2254
2;DKP;2021;0
2;du.;2021;0
2;Wir Bürger (2021: LKR);2021;202
2;Die Humanisten;2021;0
2;Tierschutzpartei;2021;0
2;SSW;2021;9410
2;Team Todenhöfer;2021;0
2;Volt;2021;0
2;V-Partei³;2021;0
3;CDU;2021;39431
3;SPD;2021;39379
3;FDP;2021;19315
3;GRÜNE;2021;16686
3;AfD;2021;10429
3;DIE LINKE;2021;4339
3;Die PARTEI;2021;0
3;FREIE WÄHLER;2021;2566
3;HEIMAT (2021: NPD);2021;0
3;ÖDP;2021;0
3;MLPD;2021;0
3;dieBasis;2021;2040
3;DKP;2021;0
3;du.;2021;0
3;Wir Bürger (2021: LKR);2021;214
3;Die Humanisten;2021;0
3;Tierschutzpartei;2021;0
3;SSW;2021;0
3;Team Todenhöfer;2021;0
3;Volt;2021;0
3;V-Partei³;2021;581
4;CDU;2021;47688
4;SPD;2021;49474
4;FDP;2021;12903
4;GRÜNE;2021;23832
4;AfD;2021;10200
4;DIE LINKE;2021;4416
4;Die PARTEI;2021;2150
4;FREIE WÄHLER;2021;1651
4;HEIMAT (2021: NPD);2021;0
4;ÖDP;2021;0
4;MLPD;2021;0
4;dieBasis;2021;2502
4;DKP;2021;0
4;du.;2021;0
4;Wir Bürger (2021: LKR);2021;0
4;Die Humanisten;2021;0
4;Tierschutzpartei;2021;0
4;SSW;2021;5834
4;Team Todenhöfer;2021;0
4;Volt;2021;0
4;V-Partei³;2021;0
5;CDU;2021;28416
5;SPD;2021;45709
5;FDP;2021;11445
5;GRÜNE;2021;43532
5;AfD;2021;7147
5;DIE LINKE;2021;7275
5;Die PARTEI;2021;2944
5;FREIE WÄHLER;2021;1144
5;HEIMAT (2021: NPD);2021;0
5;ÖDP;2021;0
5;MLPD;2021;76
5;dieBasis;2021;2009
5;DKP;2021;110
5;du.;2021;202
5;Wir Bürger (2021: LKR);2021;0
5;Die Humanisten;2021;0
5;Tierschutzpartei;2021;0
5;SSW;2021;4141
5;Team Todenhöfer;2021;0
5;Volt;2021;666
5;V-Partei³;2021;0
6;CDU;2021;36870
6;SPD;2021;41497
6;FDP;2021;12420
6;GRÜNE;2021;20740
6;AfD;2021;9404
6;DIE LINKE;2021;3718
6;Die PARTEI;2021;2196
6;FREIE WÄHLER;2021;2386
6;HEIMAT (2021: NPD);2021;0
6;ÖDP;2021;0
6;MLPD;2021;0
6;dieBasis;2021;2508
6;DKP;2021;0
6;du.;2021;0
6;Wir Bürger (2021: LKR);2021;223
6;Die Humanisten;2021;0
6;Tierschutzpartei;2021;0
6;SSW;2021;0
6;Team Todenhöfer;2021;0
6;Volt;2021;0
6;V-Partei³;2021;0
7;CDU;2021;49710
7;SPD;2021;59298
7;FDP;2021;20737
7;GRÜNE;2021;32109
7;AfD;2021;12141
7;DIE LINKE;2021;5659
7;Die PARTEI;2021;2352
7;FREIE WÄHLER;2021;2380
7;HEIMAT (2021: NPD);2021;0
7;ÖDP;2021;0
7;MLPD;2021;0
7;dieBasis;2021;2895
7;DKP;2021;0
7;du.;2021;0
7;Wir Bürger (2021: LKR);2021;166
7;Die Humanisten;2021;0
7;Tierschutzpartei;2021;0
7;SSW;2021;2622
7;Team Todenhöfer;2021;0
7;Volt;2021;0
7;V-Partei³;2021;0
8;CDU;2021;55265
8;SPD;2021;63369
8;FDP;2021;20575
8;GRÜNE;2021;27109
8;AfD;2021;14040
8;DIE LINKE;2021;6202
8;Die PARTEI;2021;3299
8;FREIE WÄHLER;2021;4670
8;HEIMAT (2021: NPD);2021;0
8;ÖDP;2021;0
8;MLPD;2021;0
8;dieBasis;2021;3389
8;DKP;2021;0
8;du.;2021;0
8;Wir Bürger (2021: LKR);2021;0
8;Die Humanisten;2021;0
8;Tierschutzpartei;2021;0
8;SSW;2021;0
8;Team Todenhöfer;2021;0
8;Volt;2021;0
8;V-Partei³;2021;0
9;CDU;2021;42991
9;SPD;2021;47714
9;FDP;2021;13289
9;GRÜNE;2021;19025
9;AfD;2021;9647
9;DIE LINKE;2021;4122
9;Die PARTEI;2021;0
9;FREIE WÄHLER;2021;2582
9;HEIMAT (2021: NPD);2021;0
9;ÖDP;2021;0
9;MLPD;2021;0
9;dieBasis;2021;2032
9;DKP;2021;0
9;du.;2021;0
9;Wir Bürger (2021: LKR);2021;0
9;Die Humanisten;2021;0
9;Tierschutzpartei;2021;0
9;SSW;2021;0
9;Team Todenhöfer;2021;0
9;Volt;2021;0
9;V-Partei³;2021;0
9;EB: Schlüter 9;2021;389
10;CDU;2021;51872
10;SPD;2021;60593
10;FDP;2021;20550
10;GRÜNE;2021;33949
10;AfD;2021;14053
10;DIE LINKE;2021;5168
10;Die PARTEI;2021;2956
10;FREIE WÄHLER;2021;3517
10;HEIMAT (2021: NPD);2021;0
10;ÖDP;2021;0
10;MLPD;2021;0
10;dieBasis;2021;2544
10;DKP;2021;125
10;du.;2021;0
10;Wir Bürger (2021: LKR);2021;0
10;Die Humanisten;2021;0
10;Tierschutzpartei;2021;0
10;SSW;2021;0
10;Team Todenhöfer;2021;0
10;Volt;2021;0
10;V-Partei³;2021;0
11;CDU;2021;28266
11;SPD;2021;44315
11;FDP;2021;9700
11;GRÜNE;2021;27809
11;AfD;2021;8538
11;DIE LINKE;2021;4020
11;Die PARTEI;2021;2193
11;FREIE WÄHLER;2021;1788
11;HEIMAT (2021: NPD);2021;0
11;ÖDP;2021;0
11;MLPD;2021;189
11;dieBasis;2021;1594
11;DKP;2021;91
11;du.;2021;298
11;Wir Bürger (2021: LKR);2021;89
11;Die Humanisten;2021;0
11;Tierschutzpartei;2021;0
11;SSW;2021;0
11;Team Todenhöfer;2021;0
11;Volt;2021;765
11;V-Partei³;2021;0
11;EB: Kerkhoff 11;2021;220
12;CDU;2021;31754
12;AfD;2021;25393
12;DIE LINKE;2021;17906
12;SPD;2021;45189
12;FDP;2021;11769
12;GRÜNE;2021;12061
12;Tierschutzpartei;2021;0
12;HEIMAT (2021: NPD);2021;0
12;Die PARTEI;2021;1910
12;FREIE WÄHLER;2021;3552
12;MLPD;2021;243
12;ÖDP;2021;0
12;dieBasis;2021;2417
12;DKP;2021;0
12;Die Humanisten;2021;0
12;PIRATEN;2021;1414
12;Team Todenhöfer;2021;0
