kurzbezeichnung;name;Zusatzbezeichnung
CDU;Christlich Demokratische Union Deutschlands;
SPD;Sozialdemokratische Partei Deutschlands;
DIE LINKE;DIE LINKE;
GRÜNE;BÜNDNIS 90/DIE GRÜNEN;
CSU;Christlich-Soziale Union in Bayern e.V.;
FDP;Freie Demokratische Partei;
AfD;Alternative für Deutschland;
PIRATEN;Piratenpartei Deutschland;
NPD;Nationaldemokratische Partei Deutschlands;
FREIE WÄHLER;FREIE WÄHLER;
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;
ÖDP;Ökologisch-Demokratische Partei;
Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;
BP;Bayernpartei;
Volksabstimmung;Ab jetzt…Demokratie durch Volksabstimmung;Politik für die Menschen
PDV;Partei der Vernunft;
MLPD;Marxistisch-Leninistische Partei Deutschlands;
BüSo;Bürgerrechtsbewegung Solidarität;
SGP;Sozialistische Gleichheitspartei, Vierte Internationale;
DIE RECHTE;DIE RECHTE;
AD-Demokraten;Allianz Deutscher Demokraten;
Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;
B*;bergpartei, die überpartei;ökoanarchistisch-realdadaistisches sammelbecken
BGE;Bündnis Grundeinkommen;Die Grundeinkommenspartei
DiB;DEMOKRATIE IN BEWEGUNG;
DKP;Deutsche Kommunistische Partei;
DM;Deutsche Mitte;Politik geht anders…
Die Grauen;Die Grauen – Für alle Generationen;
du.;Die Urbane. Eine HipHop Partei;
MG;Magdeburger Gartenpartei;ökologisch, sozial und ökonomisch
MENSCHLICHE WELT;Menschliche Welt;für das Wohl und Glücklich-Sein aller
Die Humanisten;Partei der Humanisten;
Gesundheitsforschung;Partei für Gesundheitsforschung;
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;
Bündnis C;Bündnis C - Christen für Deutschland;
DIE EINHEIT;DIE EINHEIT;
DIE VIOLETTEN;Die Violetten;für spirituelle Politik
FAMILIE;Familien-Partei Deutschlands;
DIE FRAUEN;Feministische Partei DIE FRAUEN;
MIETERPARTEI;Mieterpartei;
Neue Liberale;Neue Liberale – Die Sozialliberalen;
UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;
